//Index   ItemIndex   ItemLevel   MonsterClass	TopHitCount   SpecialValue	G_Type	G_Num	Coin1	Coin2	Coin3   Comment
179       *           *           *              *            86         	2	6	0	0	0	//Reset Reward
180       *           *           *              *            87         	2	7	0	0	0	//Master Reset Reward
181       *           *           *              *            88         	2	8	0	0	0	//Online Reward 1
182       *           *           *              *            89         	2	8	0	0	0	//Online Reward 2
183       *           *           *              *            90         	2	8	0	0	0	//Online Reward 3
184       *           *           *              *            91         	2	9	0	0	0	//Marathon Event 1
185       *           *           *              *            92         	2	9	0	0	0	//Marathon Event 2
186       *           *           *              *            93         	2	9	0	0	0	//Marathon Event 3
187       *           *           *              *            94         	2	9	0	0	0	//PvpChampionship Final
188       *           *           *              *            95         	2	9	0	0	0	//PvpChampionship Round
189       *           *           *              *            96         	0	0	0	0	0	//Arca Battle Trophy 1
190       *           *           *              *            97         	0	0	0	0	0	//Arca Battle Trophy 2
191       *           *           *              *            98         	0	0	0	0	0	//Arca Battle Trophy 3
192       *           *           *              *            99         	0	0	0	0	0	//Arca Battle Trophy 4
193       *           *           *              *            100         	0	0	0	0	0	//Arca Battle Trophy 5
194       *           *           *              *            101         	0	0	0	0	0	//Arca Battle Trophy 6
195       *           *           *              *            102         	0	0	0	0	0	//Arca Battle Trophy 7
196       *           *           *              *            103        	0	0	0	0	0	//Arca Battle Trophy 8
197       *           *           *              *            104         	0	0	0	0	0	//Arca Battle Trophy 9
198       *           *           *              *            105        	0	0	0	0	0	//Arca Battle Trophy 10
199       *           *           *              *            106        	2	9	0	0	0	//Arca Battle Winner Reward
200       *           *           *              *            107        	2	9	0	0	0	//Protector of Acheron Reward
201       *           *           *              *            108         	0	0	0	0	0	//Pandora event
202       *           *           *              *            109         	0	0	0	0	0	//Rank #1 Castle siege Switch Time
203       *           *           *              *            110         	0	0	0	0	0	//Rank #1 Castle siege Crown Time
204       *           *           *              *            111         	0	0	0	0	0	//Rank #1 Castle siege Kills
205       *           *           *              *            112         	0	0	0	0	0	//Rank #1 Castle siege Points
end
