// ItemDropType
// *: All Drop
// 0: Disable All drop
// 1: Money drop
// 2: Common drop
// 4: ItemDrop.txt
// 8: EventItemBag Drop

//Index   NonPK   ViewRange   ExperienceRate   ItemDropType   ItemDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle	CustomAttack	CustomStore 	CustomPick	CommandHelper	CommandOffPvP	PkDropItem	AllowTrade	GuildWar	MarryCommands	AccountLevel	CashShop	StartGate	DeathGate   ShowInfo   KillMessage   	Comment
16        *       10          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		22		22          0          0		"Blood Castle 6"
17        *       10          100              *              100            1000              0                 0                1              0           	0            	0		0		0		0		0		1		1		0		0		0		22		22          0          0		"Blood Castle 7"
18        *       10          100              *              100            1000              0                 0                0              0            	0            	0		0		0		0		0		1		1		0		0		0		17		17          0          0		"Chaos Castle 1"
19        *       10          100              *              100            1000              0                 0                0              0            	0            	0		0		0		0		0		1		1		0		0		0		17		17          0          0		"Chaos Castle 2"
20        *       10          100              *              100            1000              0                 0                0              0            	0            	0		0		0		0		0		1		1		0		0		0		17		17          0          0		"Chaos Castle 3"
21        *       10          100              *              100            1000              0                 0                0              0             0            	0		0		0		0		0		1		1		0		0		0		17		17          0          0		"Chaos Castle 4"
22        *       10          100              *              100            1000              0                 0                0              0            	0            	0		0		0		0		0		1		1		0		0		0		17		17          0          0		"Chaos Castle 5"
23        *       10          100              *              100            1000              0                 0                0              0           	0            	0		0		0		0		0		1		1		0		0		0		17		17          0          0		"Chaos Castle 6"
24        *       12          100              *              100            1000              0                 0                1              0          	1            	0		1		0		0		1		1		1		0		0		0		17		17          0          0		"Kalima 1"
25        *       12          100              *              100            1000              0                 0                1              0          	1            	0		1		0		0		1		1		1		0		0		0		17		17          0          0		"Kalima 2"
26        *       12          100              *              100            1000              0                 0                1              0           	1            	0		1		0		0		1		1		1		0		0		0		17		17          0          0		"Kalima 3"
27        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		17		17          0          0		"Kalima 4"
28        *       12          100              *              100            1000              0                 0                1              0           	1            	0		1		0		0		1		1		1		0		0		0		17		17          0          0		"Kalima 5"
29        *       12          100              *              100            1000              0                 0                1              0           	1            	0		1		0		0		1		1		1		0		0		0		17		17          0          0		"Kalima 6"
30        *       10          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		*		100         0          0		"Castle Siege"
31        *       12          100              *              100            1000              5000              0                1              0         	1            	0		1		0		0		1		1		1		0		0		0		106		106         0          0		"Land of Trials"
32        *       10          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		27		27          0          0		"Devil Square 2"
33        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		*		119         0          0		"Aida"
34        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		*		118         0          0		"Crywolf"
36        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		17		17          0          0		"Kalima 7"
37        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		*		138         0          0		"Kanturu 1"
38        *       12          100              *              100            1000              0                 0                1              0           	1            	0		1		0		0		1		1		1		0		0		0		*		139         0          0		"Kanturu 2"
39        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		139		137         0          0		"Kanturu 3"
40        *       12          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		17		402         0          0		"Silent"
41        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		*		256         0          0		"Barracks"
42        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		*		256         0          0		"Refuge"
45        *       12          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		17		17          0          0		"Illusion Temple 1"
46        *       12          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		17		17          0          0		"Illusion Temple 2"
47        *       12          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		17		17          0          0		"Illusion Temple 3"
48        *       12          100              *              100            1000              0                 0                1              0           	0            	0		0		0		0		0		1		1		0		0		0		17		17          0          0		"Illusion Temple 4"
49        *       12          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		17		17          0          0		"Illusion Temple 5"
50        *       12          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		17		17          0          0		"Illusion Temple 6"
51        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		1		*		267         0          0		"Elbeland"
52        *       10          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		22		22          0          0		"Blood Castle 8"
53        *       10          100              *              100            1000              0                 0                0              0            	0            	0		0		0		0		0		1		1		0		0		0		17		17          0          0		"Chaos Castle 7"
56        *       12          100              *              100            1000              0                 0                1              0           	1            	0		1		0		0		1		1		1		0		0		0		*		273         0          0		"Swamp of Calmness"
57        *       12          100              *              100            1000              0                 1                1              0            	1            	0		1		0		0		1		1		1		0		0		0		*		286         0          0		"Raklion 1"
58        *       12          100              *              100            1000              0                 1                1              0            	1            	0		1		0		0		1		1		1		0		0		0		286		286         0          0		"Raklion 2"
62        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		22		22          0          0		"Santa Town"
63        *       12          100              *              100            1000              0                 0                1              1            	1            	0		1		0		0		1		1		1		0		0		0		*		294         0          0		"Vulcanus"
64        *       12          100              *              100            1000              0                 0                0              0            	0            	0		0		0		0		0		1		1		0		0		0		*		294         0          0		"Duel Arena"
65        *       12          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		267		267         0          0		"Double Goer 1"
66        *       12          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		267		267         0          0		"Double Goer 2"
67        *       12          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		267		267         0          0		"Double Goer 3"
68        *       12          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		267		267         0          0		"Double Goer 4"
69        *       12          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		22		22          0          0		"Imperial Guardian 1"
70        *       12          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		22		22          0          0		"Imperial Guardian 2"
71        *       12          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		22		22          0          0		"Imperial Guardian 3"
72        *       12          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		22		22          0          0		"Imperial Guardian 4"
79        *       12          100              *              100            1000              0                 0                1              0            	1            	1		1		0		0		1		1		1		0		0		0		*		333         0          0		"Loren Market"
80        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		*		335         0          0		"Karutan 1"
81        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		*		335         0          0		"Karutan 2"
82        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		*		500         0          0		"Arkania"
83        *       12          100              *              100            1000              0                 0                1              0           	1            	0		1		0		0		1		1		1		0		0		0		*		501         0          0		"New Arena"
84        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		*		502         0          0		"Abuss"
85        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		*		503         0          0		"Dunes"
86        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		*		504         0          0		"Acheron"
87        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		*		505         0          0		"Kalimdor"
88        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		*		506         0          0		"New Map 1"
89        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		*		507         0          0		"New Map 2"
90        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		*		508         0          0		"New Map 3"
91        *       12          100              *              100            1000              0                 1                1              0              1               0		1		0		0		1		1		1		0		0		0		*		417         0          0		"Acheron 1"
92        *       12          100              *              100            1000              0                 1                1              0              1               0		1		0		0		1		1		1		0		0		0		*		426         0          0		"Acheron 2"
95        *       12          100              *              100            1000              0                 1                1              0              1               0		1		0		0		1		1		1		0		0		0		*		417         0          0		"Deventer 1"
96        *       12          100              *              100            1000              0                 1                1              0              1               0		1		0		0		1		1		1		0		0		0		*		426         0          0		"Deventer 2"
97        *       10          100              *              100            1000              0                 1                0              0              0               0		0		0		0		0		1		1		0		0		0		17		17          0          0		"Chaos Castle Final"
98        *       12          100              *              100            1000              0                 0                0              0              0               0		0		0		0		0		1		1		0		0		0		17		17          0          0		"Illusion Temple Final 1"
99        *       12          100              *              100            1000              0                 0                0              0              0               0		0		0		0		0		1		1		0		0		0		17		17          0          0		"Illusion Temple Final 2"
100       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 20"
101       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 21"
102       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 22"
103       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 23"
104       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 24"
105       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 25"
106       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 26"
107       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 27"
108       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 28"
109       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 29"
110       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 30"
111       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 31"
112       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 32"
113       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 33"
114       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 34"
115       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 35"
116       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 36"
117       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 37"
118       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 38"
119       *       12          100              *	      100            1000              0                 0                1              0            	1            	0		1		1		1		1		1		1		0		0		0		*		17          0          0		"New Map 39"
end
