//=========================================================================================================================================
// NPC
//=========================================================================================================================================
0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment			
581	       91	      00	 029	        210	       02             //Deruvish
582	       91	      00	 038	        216	       02             //Adniel
583	       91	      00	 056	        202	       02             //Jin
240	       91	      00	 050	        184	       03             //Safety Guardian
240	       91	      00	 058	        214	       03             //Safety Guardian
546	       91	      00	 063	        218	       02	      // Rau
end

//=========================================================================================================================================
// MONSTERS
//=========================================================================================================================================
1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
590            91             30         239            197            247          205          -1             1             //Ubaid Elemental Beast
590            91             30         238            209            245          215          -1             1             //Ubaid Elemental Beast
590            91             30         232            167            239          173          -1             1             //Ubaid Elemental Beast
590            91             30         230            175            236          180          -1             1             //Ubaid Elemental Beast
590            91             30         240            163            246          170          -1             1             //Ubaid Elemental Beast
589            91             30         236            165            244          174          -1             1             //Ubaid Devilfairy
589            91             30         236            175            242          180          -1             1             //Ubaid Devilfairy
589            91             30         195            53             200          58           -1             1             //Ubaid Devilfairy
589            91             30         199            48             206          52           -1             1             //Ubaid Devilfairy
589            91             30         202            58             207          64           -1             1             //Ubaid Devilfairy
589            91             30         204            53             211          59           -1             1             //Ubaid Devilfairy
590            91             30         200            53             210          62           -1             1             //Ubaid Elemental Beast
589            91             30         195            53             200          58           -1             1             //Ubaid Devilfairy
589            91             30         199            48             206          52           -1             1             //Ubaid Devilfairy
589            91             30         202            58             207          64           -1             1             //Ubaid Devilfairy
589            91             30         204            53             211          59           -1             1             //Ubaid Devilfairy
590            91             30         200            53             210          62           -1             1             //Ubaid Elemental Beast
591            91             30         227            87             234          93           -1             1             //Ubaid Elemental Knight
591            91             30         231            77             237          85           -1             1             //Ubaid Elemental Knight
591            91             30         241            90             247          97           -1             1             //Ubaid Elemental Knight
590            91             30         231            85             239          92           -1             1             //Ubaid Elemental Beast
590            91             30         238            84             245          92           -1             1             //Ubaid Elemental Beast
590            91             30         207            209            212          217          -1             1             //Ubaid Elemental Beast
590            91             30         212            217            218          223          -1             1             //Ubaid Elemental Beast
590            91             30         218            210            226          213          -1             1             //Ubaid Elemental Beast
591            91             30         212            212            220          220          -1             1             //Ubaid Elemental Knight
589            91             30         212            205            219          211          -1             1             //Ubaid Devilfairy
589            91             30         213            138            221          145          -1             1             //Ubaid Devilfairy
589            91             30         219            151            227          155          -1             1             //Ubaid Devilfairy
589            91             30         225            130            234          137          -1             1             //Ubaid Devilfairy
590            91             30         226            145            233          152          -1             1             //Ubaid Elemental Beast
590            91             30         217            142            225          149          -1             1             //Ubaid Elemental Beast
591            91             30         222            137            233          145          -1             1             //Ubaid Elemental Knight
590            91             30         201            177            208          182          -1             1             //Ubaid Elemental Beast
590            91             30         188            182            195          188          -1             1             //Ubaid Elemental Beast
589            91             30         188            168            194          175          -1             1             //Ubaid Devilfairy
589            91             30         193            176            200          180          -1             1             //Ubaid Devilfairy
589            91             30         210            170            218          175          -1             1             //Ubaid Devilfairy
589            91             30         208            178            214          185          -1             1             //Ubaid Devilfairy
589            91             30         153            185            160          189          -1             1             //Ubaid Devilfairy
589            91             30         150            190            155          195          -1             1             //Ubaid Devilfairy
589            91             30         150            200            156          205          -1             1             //Ubaid Devilfairy
589            91             30         162            203            169          208          -1             1             //Ubaid Devilfairy
589            91             30         165            210            171          215          -1             1             //Ubaid Devilfairy
589            91             30         169            201            175          206          -1             1             //Ubaid Devilfairy
589            91             30         168            219            175          222          -1             1             //Ubaid Devilfairy
589            91             30         181            215            187          220          -1             1             //Ubaid Devilfairy
589            91             30         183            220            190          226          -1             1             //Ubaid Devilfairy
589            91             30         190            217            196          222          -1             1             //Ubaid Devilfairy
590            91             30         176            217            184          224          -1             1             //Ubaid Elemental Beast
589            91             30         164            174            170          179          -1             1             //Ubaid Devilfairy
589            91             30         172            171            179          178          -1             1             //Ubaid Devilfairy
589            91             30         177            164            186          170          -1             1             //Ubaid Devilfairy
589            91             30         158            180            162          184          -1             1             //Ubaid Devilfairy
590            91             30         180            183            186          191          -1             1             //Ubaid Elemental Beast
589            91             30         173            193            178          202          -1             1             //Ubaid Devilfairy
589            91             30         208            195            212          202          -1             1             //Ubaid Devilfairy
589            91             30         201            188            207          192          -1             1             //Ubaid Devilfairy
589            91             30         204            172            214          177          -1             1             //Ubaid Devilfairy
589            91             30         204            70             211          76           -1             1             //Ubaid Devilfairy
589            91             30         213            70             218          75           -1             1             //Ubaid Devilfairy
589            91             30         219            66             224          72           -1             1             //Ubaid Devilfairy
589            91             30         214            54             220          58           -1             1             //Ubaid Devilfairy
590            91             30         221            51             230          55           -1             1             //Ubaid Elemental Beast
590            91             30         220            56             224          64           -1             1             //Ubaid Elemental Beast
591            91             30         209            65             217          74           -1             1             //Ubaid Elemental Knight
589            91             30         215            98             220          103          -1             1             //Ubaid Devilfairy
589            91             30         221            96             225          103          -1             1             //Ubaid Devilfairy
589            91             30         218            105            228          111          -1             1             //Ubaid Devilfairy
591            91             30         227            108            232          118          -1             1             //Ubaid Elemental Knight
590            91             30         170            92             178          98           -1             1             //Ubaid Elemental Beast
590            91             30         166            102            173          110          -1             1             //Ubaid Elemental Beast
590            91             30         173            116            182          121          -1             1             //Ubaid Elemental Beast
590            91             30         183            106            188          114          -1             1             //Ubaid Elemental Beast
590            91             30         178            81             185          88           -1             1             //Ubaid Elemental Beast
590            91             30         188            91             197          100          -1             1             //Ubaid Elemental Beast
590            91             30         201            111            210          119          -1             1             //Ubaid Elemental Beast
590            91             30         199            96             208          105          -1             1             //Ubaid Elemental Beast
590            91             30         190            109            199          116          -1             1             //Ubaid Elemental Beast
590            91             30         193            79             202          86           -1             1             //Ubaid Elemental Beast
591            91             30         179            94             192          105          -1             1             //Ubaid Elemental Knight
591            91             30         195            120            205          128          -1             1             //Ubaid Elemental Knight
591            91             30         202            88             209          100          -1             1             //Ubaid Elemental Knight
594            91             30         178            180            196          189          -1             1             //Sylphid
595            91             30         228            110            234          133          -1             3             //Gnome
596            91             30         179            90             198          107          -1             3             //Hellraiser
589            91             30         235            46             242          56           -1             3             //Ubaid Devilfairy
590            91             30         239            52             246          57           -1             3             //Ubaid Elemental Beast
591            91             30         237            42             245          50           -1             3             //Ubaid Elemental Knight
591            91             30         242            44             248          53           -1             3             //Ubaid Elemental Knight
596            91             30         93             7              246          188          -1             3             //Hellraiser
595            91             30         56             14             239          158          -1             3             //Gnome
594            91             30         99             10             248          248          -1             3             //Sylphid
593            91             30         79             5              248          183          -1             3             //Salamander
592            91             30         14             6              242          151          -1             3             //Undine
end								

