// Max 10 Battle Pass
//Requirement
0	
	//Index   ReqLevel   ReqReset   ReqMasterReset   AccountLevel
	0	  0          10          0                0
	1	  400        0          0                0
	2	  0          100        0                0
	3	  0          200        0                0
	4	  0          300        0                0
	5	  0          400        0                0
	6	  0          500        0                0
	7	  0          500        0                3
end

// Item List (Required 8 reward slots by index)
// ItemPos = Positve/Negative
// ItemSize = 1 to 10 (1 is bigger)
// Reward Type:
// 1: Item
// 2: Skin
// 3: Coins
1
	//Index   Slot   Value  ItemPosX  ItemPosY   ItemSize   ItemIndex   Level   Dur   Skill   Luck   Option   ExcOp   SetOp   JoH   OEx   Socket1   Socket2   Socket3   Socket4   Socket5   BonusSocket  Duration   Name
	//Index   Slot   Value  ItemPosX  ItemPosY   ItemSize   ItemIndex   Level   Dur   Skill   Luck   Option   ExcOp   SetOp   JoH   OEx   Socket1   Socket2   Socket3   Socket4   Socket5   BonusSocket   Duration   Name
	3 	  1      5      0         -5         7          6159        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+10
	3 	  2      5      0         -5         7          6159        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+20
	3 	  3      5      0         -5         7          6159        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+30
	3 	  4      5      0         -5         7          6159        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+10
	3 	  5      5      0         -5         7          6159        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+20
	3 	  6      5      0         -5         7          6159        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+30
    	3 	  7      5      0         -5         7          6159        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Creation+10
	3 	  8      5      0         -5         7          6159        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Creation+20

	//Index   Slot   Value  ItemPosX  ItemPosY   ItemSize   ItemIndex   Level   Dur   Skill   Luck   Option   ExcOp   SetOp   JoH   OEx   Socket1   Socket2   Socket3   Socket4   Socket5   BonusSocket  Duration   Name
	4 	  1      5      0         5          7          1           15      0     0       1      7        63      0       0     0     255       255       255       255       255       255          2000       //Bundled Jewel of Bless+10
	4 	  2      5      0         5          7          1           0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+20
	4 	  3      5      0         5          7          1           0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+30
	4 	  4      5      0         5          7          1           0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+10
	4 	  5      5      0         5          7          1           0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+20
	4 	  6      5      0         5          7          1           0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+30
    	4 	  7      5      0         5          7          1           0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Creation+10
	4 	  8      5      0         5          7          1           0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Creation+20

	//Index   Slot   Value  ItemPosX  ItemPosY   ItemSize   ItemIndex   Level   Dur   Skill   Luck   Option   ExcOp   SetOp   JoH   OEx   Socket1   Socket2   Socket3   Socket4   Socket5   BonusSocket   Duration   Name
	5 	  1      5      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+10
	5 	  2      5      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+20
	5 	  3      5      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+30
	5 	  4      5      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+10
	5 	  5      5      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+20
	5 	  6      5      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+30
    	5 	  7      5      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Creation+10
	5 	  8      5      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Creation+20

	//Index   Slot   Value  ItemPosX  ItemPosY   ItemSize   ItemIndex   Level   Dur   Skill   Luck   Option   ExcOp   SetOp   JoH   OEx   Socket1   Socket2   Socket3   Socket4   Socket5   BonusSocket   Duration   Name
	6 	  1      5      0         0          7          7182        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+10
	6 	  2      5      0         0          7          7182        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+20
	6 	  3      5      0         0          7          7182        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+30
	6 	  4      5      0         0          7          7182        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+10
	6 	  5      5      0         0          7          7182        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+20
	6 	  6      5      0         0          7          7182        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+30
    	6 	  7      5      0         0          7          7182        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Creation+10
	6 	  8      5      0         0          7          7182        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Creation+20

	//Index   Slot   Value  ItemPosX  ItemPosY   ItemSize   ItemIndex   Level   Dur   Skill   Luck   Option   ExcOp   SetOp   JoH   OEx   Socket1   Socket2   Socket3   Socket4   Socket5   BonusSocket   Duration   Name
	7 	  1      5      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+10
	7 	  2      5      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+20
	7 	  3      5      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+30
	7 	  4      5      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+10
	7 	  5      5      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+20
	7 	  6      5      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+30
    	7 	  7      5      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Creation+10
	7 	  8      5      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Creation+20
end

2
	//Index   Slot   Value  ItemPosX  ItemPosY   ItemSize  SkinIndex
	0         7      10     10        0          9         2
end

3
	//Index   Slot   Value  Money   WC    WP    GP
        0         8      7      10000   10    10    10
end
