//=================================================================================================================
// Custom Auto Quiz System
//=================================================================================================================
0
//Index   Year   Month   Day   DoW   Hour   Minute   Second
0         *      *       *     *     *      35       0
end

1
//Index   Name                       AlarmTime   EventTime
0         "Quiz"                     3           3
end


//=================================================================================================================
// Questions
//=================================================================================================================
//  ID   WC   WP   GP   Question                        Answer
//=================================================================================================================
2
  44   10   0    0    "How many planets are there?"     "8"
  45   10   0    0    "What language is spoken in Brazil?" "portuguese"
  46   10   0    0    "What is the square root of 9?"   "3"
  47   10   0    0    "What is the national sport of Japan?" "sumo"
  48   10   0    0    "What is the tallest animal?"     "giraffe"
  49   10   0    0    "What is the chemical symbol for gold?" "au"
  50   10   0    0    "How many days are in a leap year?" "366"
  51   10   0    0    "What is the capital of Spain?"   "madrid"
  52   10   0    0    "Who discovered America?"         "columbus"
  53   10   0    0    "What is the boiling point of water in Celsius?" "100"
  54   10   0    0    "What is the largest continent?"  "asia"
  55   10   0    0    "What is the capital of Germany?" "berlin"
  56   10   0    0    "What is the hardest natural substance?" "diamond"
  57   10   0    0    "What is the capital of Canada?"  "ottawa"
  58   10   0    0    "What is the largest island?"     "greenland"
  59   10   0    0    "Who developed the theory of relativity?" "einstein"
  60   10   0    0    "What is the main gas in air?"    "nitrogen"
  61   10   0    0    "What is the largest river?"      "nile"
  62   10   0    0    "What is the smallest ocean?"     "arctic"
  63   10   0    0    "Who invented the telephone?"     "bell"
  64   10   0    0    "What is the chemical symbol for iron?" "fe"
  65   10   0    0    "What is the chemical symbol for silver?" "ag"
  66   10   0    0    "What is the largest ocean animal?" "whale"
  67   10   0    0    "What is the national bird of USA?" "eagle"
  68   10   0    0    "What is the square root of 16?"  "4"
  69   10   0    0    "How many hours in a day?"        "24"
  70   10   0    0    "What planet is closest to the sun?" "mercury"
  71   10   0    0    "What is the fastest ocean animal?" "sailfish"
  72   10   0    0    "What organ is used for breathing?" "lungs"
  73   10   0    0    "What is frozen water called?"    "ice"
  74   10   0    0    "What color are bananas?"         "yellow"
  75   10   0    0    "What is the opposite of up?"     "down"
  76   10   0    0    "What is the opposite of left?"   "right"
  77   10   0    0    "What do bees make?"              "honey"
  78   10   0    0    "What do cows produce?"           "milk"
  79   10   0    0    "What is the shape of Earth?"     "sphere"
  80   10   0    0    "What is the largest organ of body?" "skin"
  81   10   0    0    "What is the opposite of big?"    "small"
  82   10   0    0    "What is the opposite of happy?"  "sad"
  83   10   0    0    "What fruit is red and round?"    "apple"
  84   10   0    0    "What fruit is long and yellow?"  "banana"
  85   10   0    0    "What vegetable is orange?"       "carrot"
  86   10   0    0    "What year did HexMU launch?"     "2025"
  87   10   0    0    "What is the capital of USA?"     "washington"
  88   10   0    0    "What color are emeralds?"        "green"
  89   10   0    0    "What color are rubies?"          "red"
  90   10   0    0    "What color are sapphires?"       "blue"
  91   10   0    0    "What is the smallest planet?"    "mercury"
  92   10   0    0    "What is the fastest growing plant?" "bamboo"
  93   10   0    0    "What gas do plants release?"     "oxygen"
  94   10   0    0    "What is the opposite of wet?"    "dry"
  95   10   0    0    "What's the main feature of Zcash?"  "privacy"
  96   10   0    0    "What's the token symbol for Zcash?" "zec"
  97   10   0    0    "What is the main language of USA?" "english"
  98   10   0    0    "What do you call baby dogs?"     "puppies"
  99   10   0    0    "What do you call baby cats?"     "kittens"
  100  10   0    0    "What is the opposite of open?"   "closed"
end
